n,name,name2,initials,IUPAC,type,subtype,mean,freq.glob
177,"Succinic acid, 4-methoxy-2-methylbutyl octadecyl ester",,,,,,0.000,0.00
178,"Sulfurous acid, 2-ethylhexyl heptadecyl ester",,,,,,0.019,0.02
179,"Sulfurous acid, 2-ethylhexyl hexyl ester",,,,,,0.000,0.00
180,"Sulfurous acid, 2-ethylhexyl isobutyl ester",,,,,,0.037,0.02
181,"Sulfurous acid, butyl nonyl ester",,,,,,0.000,0.00
182,"Sulfurous acid, hexyl nonyl ester",,,,,,0.105,0.02
183,"Tetrahydro[2,2']bifuranyl-5-one",,,,,,0.000,0.00
184,trans-Linalool oxide (furanoid),linalool oxide (furanoid),lofu,2-(5-ethenyl-5-methyloxolan-2-yl)propan-2-ol,terpene,cyclic monoterpene alcohol,0.519,0.11
185,Tridecane,,,,,,0.002,0.01
186,"Undecane, 3,5-dimethyl-",,,,,,0.000,0.00
187,"Undecane, 4,6-dimethyl-",,,,,,0.004,0.01
188,"Valeric acid, 4-tridecyl ester",,,,,,0.000,0.00
189,"1,12-Dodecanediol",,,,,,0.000,0.00
190,2-Methyl-tetrahydropyran,,,,,,0.000,0.00
191,2-Propionyloxytetradecane,,,,,,0.000,0.00
192,"2(3H)-Furanone, 5-hexyldihydro-",,,,,,0.000,0.00
193,"2H-Pyran-2-one, tetrahydro-6-octyl-",,,,,,0.000,0.00
194,"6-Benzamido-4-benzoyl-1,2,4-triazine-3,5(2H,4H)-dione",,,,,,0.000,0.00
195,"Butane, 1,1'-[methylenebis(oxy)]bis[3-methyl-",,,,,,0.000,0.00
196,Cyclotridecane,,,,,,0.000,0.00
197,"Octanoic acid, octyl ester",,,,,,0.000,0.00
198,"Oxacycloheptadec-8-en-2-one, (8Z)-",,,,,,0.000,0.00
199,"Oxalic acid, cyclohexylmethyl octadecyl ester",,,,,,0.000,0.00
200,"Pentafluoropropionic acid, heptadecyl ester",,,,,,0.000,0.00
201,"Sulfurous acid, pentadecyl 2-pentyl ester",,,,,,0.000,0.00
202,Tridecanedial,,,,,,0.000,0.00
